Name,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Bulbasaur,1,Grass,Poison,318,45,49,49,65,65,45,1,False
Ivysaur,2,Grass,Poison,405,60,62,63,80,80,60,1,False
Venusaur,3,Grass,Poison,525,80,82,83,100,100,80,1,False
VenusaurMega Venusaur,3,Grass,Poison,625,80,100,123,122,120,80,1,False
Charmander,4,Fire,,309,39,52,43,60,50,65,1,False
Charmeleon,5,Fire,,405,58,64,58,80,65,80,1,False
Charizard,6,Fire,Flying,534,78,84,78,109,85,100,1,False
CharizardMega Charizard X,6,Fire,Dragon,634,78,130,111,130,85,100,1,False
CharizardMega Charizard Y,6,Fire,Flying,634,78,104,78,159,115,100,1,False
Squirtle,7,Water,,314,44,48,65,50,64,43,1,False
Wartortle,8,Water,,405,59,63,80,65,80,58,1,False
Blastoise,9,Water,,530,79,83,100,85,105,78,1,False
BlastoiseMega Blastoise,9,Water,,630,79,103,120,135,115,78,1,False
Caterpie,10,Bug,,195,45,30,35,20,20,45,1,False
Metapod,11,Bug,,205,50,20,55,25,25,30,1,False
Butterfree,12,Bug,Flying,395,60,45,50,90,80,70,1,False
Weedle,13,Bug,Poison,195,40,35,30,20,20,50,1,False
Kakuna,14,Bug,Poison,205,45,25,50,25,25,35,1,False
Beedrill,15,Bug,Poison,395,65,90,40,45,80,75,1,False
BeedrillMega Beedrill,15,Bug,Poison,495,65,150,40,15,80,145,1,False
Pidgey,16,Normal,Flying,251,40,45,40,35,35,56,1,False
Pidgeotto,17,Normal,Flying,349,63,60,55,50,50,71,1,False
Pidgeot,18,Normal,Flying,479,83,80,75,70,70,101,1,False
PidgeotMega Pidgeot,18,Normal,Flying,579,83,80,80,135,80,121,1,False
Rattata,19,Normal,,253,30,56,35,25,35,72,1,False
Raticate,20,Normal,,413,55,81,60,50,70,97,1,False
Spearow,21,Normal,Flying,262,40,60,30,31,31,70,1,False
Fearow,22,Normal,Flying,442,65,90,65,61,61,100,1,False
Ekans,23,Poison,,288,35,60,44,40,54,55,1,False
Arbok,24,Poison,,438,60,85,69,65,79,80,1,False
Pikachu,25,Electric,,320,35,55,40,50,50,90,1,False
Raichu,26,Electric,,485,60,90,55,90,80,110,1,False
Sandshrew,27,Ground,,300,50,75,85,20,30,40,1,False
Sandslash,28,Ground,,450,75,100,110,45,55,65,1,False
Nidoran♀,29,Poison,,275,55,47,52,40,40,41,1,False
Nidorina,30,Poison,,365,70,62,67,55,55,56,1,False
Nidoqueen,31,Poison,Ground,505,90,92,87,75,85,76,1,False
Nidoran♂,32,Poison,,273,46,57,40,40,40,50,1,False
Nidorino,33,Poison,,365,61,72,57,55,55,65,1,False
Nidoking,34,Poison,Ground,505,81,102,77,85,75,85,1,False
Clefairy,35,Fairy,,323,70,45,48,60,65,35,1,False
Clefable,36,Fairy,,483,95,70,73,95,90,60,1,False
Vulpix,37,Fire,,299,38,41,40,50,65,65,1,False
Ninetales,38,Fire,,505,73,76,75,81,100,100,1,False
Jigglypuff,39,Normal,Fairy,270,115,45,20,45,25,20,1,False
Wigglytuff,40,Normal,Fairy,435,140,70,45,85,50,45,1,False
Zubat,41,Poison,Flying,245,40,45,35,30,40,55,1,False
Golbat,42,Poison,Flying,455,75,80,70,65,75,90,1,False
Oddish,43,Grass,Poison,320,45,50,55,75,65,30,1,False
Gloom,44,Grass,Poison,395,60,65,70,85,75,40,1,False
Vileplume,45,Grass,Poison,490,75,80,85,110,90,50,1,False
Paras,46,Bug,Grass,285,35,70,55,45,55,25,1,False
Parasect,47,Bug,Grass,405,60,95,80,60,80,30,1,False
Venonat,48,Bug,Poison,305,60,55,50,40,55,45,1,False
Venomoth,49,Bug,Poison,450,70,65,60,90,75,90,1,False
Diglett,50,Ground,,265,10,55,25,35,45,95,1,False
Dugtrio,51,Ground,,405,35,80,50,50,70,120,1,False
Meowth,52,Normal,,290,40,45,35,40,40,90,1,False
Persian,53,Normal,,440,65,70,60,65,65,115,1,False
Psyduck,54,Water,,320,50,52,48,65,50,55,1,False
Golduck,55,Water,,500,80,82,78,95,80,85,1,False
Mankey,56,Fighting,,305,40,80,35,35,45,70,1,False
Primeape,57,Fighting,,455,65,105,60,60,70,95,1,False
Growlithe,58,Fire,,350,55,70,45,70,50,60,1,False
Arcanine,59,Fire,,555,90,110,80,100,80,95,1,False
Poliwag,60,Water,,300,40,50,40,40,40,90,1,False
Poliwhirl,61,Water,,385,65,65,65,50,50,90,1,False
Poliwrath,62,Water,Fighting,510,90,95,95,70,90,70,1,False
Abra,63,Psychic,,310,25,20,15,105,55,90,1,False
Kadabra,64,Psychic,,400,40,35,30,120,70,105,1,False
Alakazam,65,Psychic,,500,55,50,45,135,95,120,1,False
AlakazamMega Alakazam,65,Psychic,,590,55,50,65,175,95,150,1,False
Machop,66,Fighting,,305,70,80,50,35,35,35,1,False
Machoke,67,Fighting,,405,80,100,70,50,60,45,1,False
Machamp,68,Fighting,,505,90,130,80,65,85,55,1,False
Bellsprout,69,Grass,Poison,300,50,75,35,70,30,40,1,False
Weepinbell,70,Grass,Poison,390,65,90,50,85,45,55,1,False
Victreebel,71,Grass,Poison,490,80,105,65,100,70,70,1,False
Tentacool,72,Water,Poison,335,40,40,35,50,100,70,1,False
Tentacruel,73,Water,Poison,515,80,70,65,80,120,100,1,False
Geodude,74,Rock,Ground,300,40,80,100,30,30,20,1,False
Graveler,75,Rock,Ground,390,55,95,115,45,45,35,1,False
Golem,76,Rock,Ground,495,80,120,130,55,65,45,1,False
Ponyta,77,Fire,,410,50,85,55,65,65,90,1,False
Rapidash,78,Fire,,500,65,100,70,80,80,105,1,False
Slowpoke,79,Water,Psychic,315,90,65,65,40,40,15,1,False
Slowbro,80,Water,Psychic,490,95,75,110,100,80,30,1,False
SlowbroMega Slowbro,80,Water,Psychic,590,95,75,180,130,80,30,1,False
Magnemite,81,Electric,Steel,325,25,35,70,95,55,45,1,False
Magneton,82,Electric,Steel,465,50,60,95,120,70,70,1,False
Farfetch'd,83,Normal,Flying,352,52,65,55,58,62,60,1,False
Doduo,84,Normal,Flying,310,35,85,45,35,35,75,1,False
Dodrio,85,Normal,Flying,460,60,110,70,60,60,100,1,False
Seel,86,Water,,325,65,45,55,45,70,45,1,False
Dewgong,87,Water,Ice,475,90,70,80,70,95,70,1,False
Grimer,88,Poison,,325,80,80,50,40,50,25,1,False
Muk,89,Poison,,500,105,105,75,65,100,50,1,False
Shellder,90,Water,,305,30,65,100,45,25,40,1,False
Cloyster,91,Water,Ice,525,50,95,180,85,45,70,1,False
Gastly,92,Ghost,Poison,310,30,35,30,100,35,80,1,False
Haunter,93,Ghost,Poison,405,45,50,45,115,55,95,1,False
Gengar,94,Ghost,Poison,500,60,65,60,130,75,110,1,False
GengarMega Gengar,94,Ghost,Poison,600,60,65,80,170,95,130,1,False
Onix,95,Rock,Ground,385,35,45,160,30,45,70,1,False
Drowzee,96,Psychic,,328,60,48,45,43,90,42,1,False
Hypno,97,Psychic,,483,85,73,70,73,115,67,1,False
Krabby,98,Water,,325,30,105,90,25,25,50,1,False
Kingler,99,Water,,475,55,130,115,50,50,75,1,False
Voltorb,100,Electric,,330,40,30,50,55,55,100,1,False
Electrode,101,Electric,,480,60,50,70,80,80,140,1,False
Exeggcute,102,Grass,Psychic,325,60,40,80,60,45,40,1,False
Exeggutor,103,Grass,Psychic,520,95,95,85,125,65,55,1,False
Cubone,104,Ground,,320,50,50,95,40,50,35,1,False
Marowak,105,Ground,,425,60,80,110,50,80,45,1,False
Hitmonlee,106,Fighting,,455,50,120,53,35,110,87,1,False
Hitmonchan,107,Fighting,,455,50,105,79,35,110,76,1,False
Lickitung,108,Normal,,385,90,55,75,60,75,30,1,False
Koffing,109,Poison,,340,40,65,95,60,45,35,1,False
Weezing,110,Poison,,490,65,90,120,85,70,60,1,False
Rhyhorn,111,Ground,Rock,345,80,85,95,30,30,25,1,False
Rhydon,112,Ground,Rock,485,105,130,120,45,45,40,1,False
Chansey,113,Normal,,450,250,5,5,35,105,50,1,False
Tangela,114,Grass,,435,65,55,115,100,40,60,1,False
Kangaskhan,115,Normal,,490,105,95,80,40,80,90,1,False
KangaskhanMega Kangaskhan,115,Normal,,590,105,125,100,60,100,100,1,False
Horsea,116,Water,,295,30,40,70,70,25,60,1,False
Seadra,117,Water,,440,55,65,95,95,45,85,1,False
Goldeen,118,Water,,320,45,67,60,35,50,63,1,False
Seaking,119,Water,,450,80,92,65,65,80,68,1,False
Staryu,120,Water,,340,30,45,55,70,55,85,1,False
Starmie,121,Water,Psychic,520,60,75,85,100,85,115,1,False
Mr. Mime,122,Psychic,Fairy,460,40,45,65,100,120,90,1,False
Scyther,123,Bug,Flying,500,70,110,80,55,80,105,1,False
Jynx,124,Ice,Psychic,455,65,50,35,115,95,95,1,False
Electabuzz,125,Electric,,490,65,83,57,95,85,105,1,False
Magmar,126,Fire,,495,65,95,57,100,85,93,1,False
Pinsir,127,Bug,,500,65,125,100,55,70,85,1,False
PinsirMega Pinsir,127,Bug,Flying,600,65,155,120,65,90,105,1,False
Tauros,128,Normal,,490,75,100,95,40,70,110,1,False
Magikarp,129,Water,,200,20,10,55,15,20,80,1,False
Gyarados,130,Water,Flying,540,95,125,79,60,100,81,1,False
GyaradosMega Gyarados,130,Water,Dark,640,95,155,109,70,130,81,1,False
Lapras,131,Water,Ice,535,130,85,80,85,95,60,1,False
Ditto,132,Normal,,288,48,48,48,48,48,48,1,False
Eevee,133,Normal,,325,55,55,50,45,65,55,1,False
Vaporeon,134,Water,,525,130,65,60,110,95,65,1,False
Jolteon,135,Electric,,525,65,65,60,110,95,130,1,False
Flareon,136,Fire,,525,65,130,60,95,110,65,1,False
Porygon,137,Normal,,395,65,60,70,85,75,40,1,False
Omanyte,138,Rock,Water,355,35,40,100,90,55,35,1,False
Omastar,139,Rock,Water,495,70,60,125,115,70,55,1,False
Kabuto,140,Rock,Water,355,30,80,90,55,45,55,1,False
Kabutops,141,Rock,Water,495,60,115,105,65,70,80,1,False
Aerodactyl,142,Rock,Flying,515,80,105,65,60,75,130,1,False
AerodactylMega Aerodactyl,142,Rock,Flying,615,80,135,85,70,95,150,1,False
Snorlax,143,Normal,,540,160,110,65,65,110,30,1,False
Articuno,144,Ice,Flying,580,90,85,100,95,125,85,1,True
Zapdos,145,Electric,Flying,580,90,90,85,125,90,100,1,True
Moltres,146,Fire,Flying,580,90,100,90,125,85,90,1,True
Dratini,147,Dragon,,300,41,64,45,50,50,50,1,False
Dragonair,148,Dragon,,420,61,84,65,70,70,70,1,False
Dragonite,149,Dragon,Flying,600,91,134,95,100,100,80,1,False
Mewtwo,150,Psychic,,680,106,110,90,154,90,130,1,True
MewtwoMega Mewtwo X,150,Psychic,Fighting,780,106,190,100,154,100,130,1,True
MewtwoMega Mewtwo Y,150,Psychic,,780,106,150,70,194,120,140,1,True
Mew,151,Psychic,,600,100,100,100,100,100,100,1,False
Chikorita,152,Grass,,318,45,49,65,49,65,45,2,False
Bayleef,153,Grass,,405,60,62,80,63,80,60,2,False
Meganium,154,Grass,,525,80,82,100,83,100,80,2,False
Cyndaquil,155,Fire,,309,39,52,43,60,50,65,2,False
Quilava,156,Fire,,405,58,64,58,80,65,80,2,False
Typhlosion,157,Fire,,534,78,84,78,109,85,100,2,False
Totodile,158,Water,,314,50,65,64,44,48,43,2,False
Croconaw,159,Water,,405,65,80,80,59,63,58,2,False
Feraligatr,160,Water,,530,85,105,100,79,83,78,2,False
Sentret,161,Normal,,215,35,46,34,35,45,20,2,False
Furret,162,Normal,,415,85,76,64,45,55,90,2,False
Hoothoot,163,Normal,Flying,262,60,30,30,36,56,50,2,False
Noctowl,164,Normal,Flying,442,100,50,50,76,96,70,2,False
Ledyba,165,Bug,Flying,265,40,20,30,40,80,55,2,False
Ledian,166,Bug,Flying,390,55,35,50,55,110,85,2,False
Spinarak,167,Bug,Poison,250,40,60,40,40,40,30,2,False
Ariados,168,Bug,Poison,390,70,90,70,60,60,40,2,False
Crobat,169,Poison,Flying,535,85,90,80,70,80,130,2,False
Chinchou,170,Water,Electric,330,75,38,38,56,56,67,2,False
Lanturn,171,Water,Electric,460,125,58,58,76,76,67,2,False
Pichu,172,Electric,,205,20,40,15,35,35,60,2,False
Cleffa,173,Fairy,,218,50,25,28,45,55,15,2,False
Igglybuff,174,Normal,Fairy,210,90,30,15,40,20,15,2,False
Togepi,175,Fairy,,245,35,20,65,40,65,20,2,False
Togetic,176,Fairy,Flying,405,55,40,85,80,105,40,2,False
Natu,177,Psychic,Flying,320,40,50,45,70,45,70,2,False
Xatu,178,Psychic,Flying,470,65,75,70,95,70,95,2,False
Mareep,179,Electric,,280,55,40,40,65,45,35,2,False
Flaaffy,180,Electric,,365,70,55,55,80,60,45,2,False
Ampharos,181,Electric,,510,90,75,85,115,90,55,2,False
AmpharosMega Ampharos,181,Electric,Dragon,610,90,95,105,165,110,45,2,False
Bellossom,182,Grass,,490,75,80,95,90,100,50,2,False
Marill,183,Water,Fairy,250,70,20,50,20,50,40,2,False
Azumarill,184,Water,Fairy,420,100,50,80,60,80,50,2,False
Sudowoodo,185,Rock,,410,70,100,115,30,65,30,2,False
Politoed,186,Water,,500,90,75,75,90,100,70,2,False
Hoppip,187,Grass,Flying,250,35,35,40,35,55,50,2,False
Skiploom,188,Grass,Flying,340,55,45,50,45,65,80,2,False
Jumpluff,189,Grass,Flying,460,75,55,70,55,95,110,2,False
Aipom,190,Normal,,360,55,70,55,40,55,85,2,False
Sunkern,191,Grass,,180,30,30,30,30,30,30,2,False
Sunflora,192,Grass,,425,75,75,55,105,85,30,2,False
Yanma,193,Bug,Flying,390,65,65,45,75,45,95,2,False
Wooper,194,Water,Ground,210,55,45,45,25,25,15,2,False
Quagsire,195,Water,Ground,430,95,85,85,65,65,35,2,False
Espeon,196,Psychic,,525,65,65,60,130,95,110,2,False
Umbreon,197,Dark,,525,95,65,110,60,130,65,2,False
Murkrow,198,Dark,Flying,405,60,85,42,85,42,91,2,False
Slowking,199,Water,Psychic,490,95,75,80,100,110,30,2,False
Misdreavus,200,Ghost,,435,60,60,60,85,85,85,2,False
Unown,201,Psychic,,336,48,72,48,72,48,48,2,False
Wobbuffet,202,Psychic,,405,190,33,58,33,58,33,2,False
Girafarig,203,Normal,Psychic,455,70,80,65,90,65,85,2,False
Pineco,204,Bug,,290,50,65,90,35,35,15,2,False
Forretress,205,Bug,Steel,465,75,90,140,60,60,40,2,False
Dunsparce,206,Normal,,415,100,70,70,65,65,45,2,False
Gligar,207,Ground,Flying,430,65,75,105,35,65,85,2,False
Steelix,208,Steel,Ground,510,75,85,200,55,65,30,2,False
SteelixMega Steelix,208,Steel,Ground,610,75,125,230,55,95,30,2,False
Snubbull,209,Fairy,,300,60,80,50,40,40,30,2,False
Granbull,210,Fairy,,450,90,120,75,60,60,45,2,False
Qwilfish,211,Water,Poison,430,65,95,75,55,55,85,2,False
Scizor,212,Bug,Steel,500,70,130,100,55,80,65,2,False
ScizorMega Scizor,212,Bug,Steel,600,70,150,140,65,100,75,2,False
Shuckle,213,Bug,Rock,505,20,10,230,10,230,5,2,False
Heracross,214,Bug,Fighting,500,80,125,75,40,95,85,2,False
HeracrossMega Heracross,214,Bug,Fighting,600,80,185,115,40,105,75,2,False
Sneasel,215,Dark,Ice,430,55,95,55,35,75,115,2,False
Teddiursa,216,Normal,,330,60,80,50,50,50,40,2,False
Ursaring,217,Normal,,500,90,130,75,75,75,55,2,False
Slugma,218,Fire,,250,40,40,40,70,40,20,2,False
Magcargo,219,Fire,Rock,410,50,50,120,80,80,30,2,False
Swinub,220,Ice,Ground,250,50,50,40,30,30,50,2,False
Piloswine,221,Ice,Ground,450,100,100,80,60,60,50,2,False
Corsola,222,Water,Rock,380,55,55,85,65,85,35,2,False
Remoraid,223,Water,,300,35,65,35,65,35,65,2,False
Octillery,224,Water,,480,75,105,75,105,75,45,2,False
Delibird,225,Ice,Flying,330,45,55,45,65,45,75,2,False
Mantine,226,Water,Flying,465,65,40,70,80,140,70,2,False
Skarmory,227,Steel,Flying,465,65,80,140,40,70,70,2,False
Houndour,228,Dark,Fire,330,45,60,30,80,50,65,2,False
Houndoom,229,Dark,Fire,500,75,90,50,110,80,95,2,False
HoundoomMega Houndoom,229,Dark,Fire,600,75,90,90,140,90,115,2,False
Kingdra,230,Water,Dragon,540,75,95,95,95,95,85,2,False
Phanpy,231,Ground,,330,90,60,60,40,40,40,2,False
Donphan,232,Ground,,500,90,120,120,60,60,50,2,False
Porygon2,233,Normal,,515,85,80,90,105,95,60,2,False
Stantler,234,Normal,,465,73,95,62,85,65,85,2,False
Smeargle,235,Normal,,250,55,20,35,20,45,75,2,False
Tyrogue,236,Fighting,,210,35,35,35,35,35,35,2,False
Hitmontop,237,Fighting,,455,50,95,95,35,110,70,2,False
Smoochum,238,Ice,Psychic,305,45,30,15,85,65,65,2,False
Elekid,239,Electric,,360,45,63,37,65,55,95,2,False
Magby,240,Fire,,365,45,75,37,70,55,83,2,False
Miltank,241,Normal,,490,95,80,105,40,70,100,2,False
Blissey,242,Normal,,540,255,10,10,75,135,55,2,False
Raikou,243,Electric,,580,90,85,75,115,100,115,2,True
Entei,244,Fire,,580,115,115,85,90,75,100,2,True
Suicune,245,Water,,580,100,75,115,90,115,85,2,True
Larvitar,246,Rock,Ground,300,50,64,50,45,50,41,2,False
Pupitar,247,Rock,Ground,410,70,84,70,65,70,51,2,False
Tyranitar,248,Rock,Dark,600,100,134,110,95,100,61,2,False
TyranitarMega Tyranitar,248,Rock,Dark,700,100,164,150,95,120,71,2,False
Lugia,249,Psychic,Flying,680,106,90,130,90,154,110,2,True
